Date,Time,Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Average Effective Clock [MHz],Core Temperatures (avg) [°C],Core 0 [°C],Core 1 [°C],Core 2 [°C],Core 3 [°C],Core Distance to TjMAX (avg) [°C],Core 0 Distance to TjMAX [°C],Core 1 Distance to TjMAX [°C],Core 2 Distance to TjMAX [°C],Core 3 Distance to TjMAX [°C],CPU Package [°C],Core Max [°C],CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],CPU Package Power [W]
16.7.2022,52:29.2,3416.6,3391.7,3491.5,3291.9,3491.5,2330.9,92,93,87,96,92,8,7,13,4,8,95,96,95,95,68,32.442
16.7.2022,52:31.3,3390.9,3390.9,3390.9,3390.9,3390.9,2315.1,70,70,75,68,68,30,30,25,32,32,75,75,77,77,68,35.377
16.7.2022,52:33.4,3288.7,3288.7,3288.7,3288.7,3288.7,2103.8,72,69,74,72,72,28,31,26,28,28,74,74,76,76,68,33.262
16.7.2022,52:35.9,3491.5,3491.5,3491.5,3491.5,3491.5,2427.8,92,93,87,95,93,8,7,13,5,7,96,95,95,95,68,33.788
16.7.2022,52:38.0,3291.1,3291.1,3291.1,3291.1,3291.1,1367.7,71,68,74,72,69,29,32,26,28,31,73,74,79,79,66,24.716
16.7.2022,52:40.2,3641.1,3691,3691,3691,3491.5,2864.4,88,86,84,93,90,12,14,16,7,10,93,93,96,96,69,38.281
16.7.2022,52:42.4,3489.7,3390,3489.7,3489.7,3589.5,2224.7,92,92,88,95,92,8,8,12,5,8,95,95,95,95,68,31.129
16.7.2022,52:44.7,3494,3494,3494,3494,3494,2076.2,92,94,86,95,93,8,6,14,5,7,95,95,95,95,69,30.64
16.7.2022,52:47.2,3418.3,3493.2,3293.6,3393.4,3493.2,2556.6,91,93,84,95,92,9,7,16,5,8,95,95,95,95,68,36.553
16.7.2022,52:49.4,3291.9,3291.9,3291.9,3291.9,3291.9,2224.3,72,71,75,73,69,28,29,25,27,31,75,75,78,78,67,30.901
16.7.2022,52:51.4,3143.1,3093.2,3093.2,3193,3193,2135.7,71,70,72,72,71,29,30,28,28,29,73,72,77,77,66,30.725
16.7.2022,52:54.6,3442.4,3392.5,3492.3,3292.7,3592.1,1963.7,92,92,88,95,93,8,8,12,5,7,95,95,95,95,67,26.576
16.7.2022,52:56.7,3540.5,3690,3490.6,3490.6,3490.6,3228.7,93,94,88,95,94,7,6,12,5,6,94,95,96,96,68,38.677
16.7.2022,52:58.7,3992.2,3992.2,3992.2,3992.2,3992.2,1969.9,88,87,87,88,90,12,13,13,12,10,92,90,97,96,70,36.122
16.7.2022,53:00.8,3316.1,3291.1,3291.1,3291.1,3390.9,1198.2,71,70,72,68,75,29,30,28,32,25,75,75,75,75,68,24.756
16.7.2022,53:03.5,3539.6,3489.7,3589.5,3589.5,3489.7,2174.6,93,94,90,94,95,7,6,10,6,5,95,95,95,95,68,28.532
16.7.2022,53:05.6,3341.8,3291.9,3291.9,3391.7,3391.7,1381.1,72,73,72,75,67,28,27,28,25,33,74,75,77,77,67,28.131
16.7.2022,53:07.7,3943.2,3993.2,3993.2,3893.3,3893.3,2008.4,88,91,83,90,87,12,9,17,10,13,91,91,87,87,68,31.948
16.7.2022,53:09.8,3639.3,3589.5,3589.5,3788.9,3589.5,2470.1,90,87,89,90,92,11,13,11,10,8,95,92,95,95,68,34.361
16.7.2022,53:11.9,3242.1,3192.2,3192.2,3291.9,3291.9,1731.7,72,71,73,73,70,28,29,27,27,30,73,73,77,78,67,31.045
16.7.2022,53:14.2,3513.8,3488.9,3588.6,3488.9,3488.9,1293.4,91,93,84,95,93,9,7,16,5,7,95,95,94,94,67,24.645
16.7.2022,53:16.2,3193,3193,3193,3193,3193,2566.7,71,70,73,71,68,30,30,27,29,32,73,73,77,77,66,33.455
16.7.2022,53:18.3,3266.2,3191.4,3291.1,3291.1,3291.1,922.8,70,70,74,66,71,30,30,26,34,29,74,74,74,74,66,20.573
16.7.2022,53:20.5,3542.2,3392.5,3492.3,3592.1,3691.9,1322.7,92,91,87,95,93,9,9,13,5,7,96,95,94,94,67,23.555
16.7.2022,53:22.6,3518.1,3493.2,3493.2,3493.2,3593,3225.8,92,93,86,95,93,8,7,14,5,7,95,95,95,95,67,39.212
16.7.2022,53:24.8,3513.8,3488.9,3588.6,3588.6,3389.2,2458.9,91,92,85,94,91,10,8,15,6,9,95,94,95,95,68,33.507
16.7.2022,53:26.9,3591.2,3591.2,3691,3591.2,3491.5,1624.1,92,93,87,95,93,8,7,13,5,7,95,95,96,96,68,27.09
16.7.2022,53:29.2,3440.7,3390.9,3490.6,3490.6,3390.9,3092,91,94,84,95,90,9,6,16,5,10,95,95,95,95,68,38.814
16.7.2022,53:31.3,3391.7,3391.7,3391.7,3391.7,3391.7,2592,74,73,77,73,71,27,27,23,27,29,77,77,81,81,68,35.991
16.7.2022,53:33.4,3093.2,3093.2,3093.2,3093.2,3093.2,1208.8,73,74,75,73,71,27,26,25,27,29,75,75,77,77,68,24.551
16.7.2022,53:35.5,3516.4,3491.5,3491.5,3491.5,3591.2,2623.9,78,76,78,82,74,23,24,22,18,26,79,82,84,84,68,34.497
